agencyId,color,description,routeId,longName,shortName,textColor,type,url
70,,O - Pza. Italia x Av. Int. Cantilo y Acc. Norte - Pilar: Expreso Palermo Pilar,70_445,JNAMBA057,57O,,3,
70,,J - Pza. Italia x Cno. del Buen Ayre - Est. Moreno: x Autop. Moreno Palermo,70_448,JNAMBA057,57J,,3,
70,,J - Pza. Italia x Cno. del Buen Ayre - Est. Moreno: x Autop. Palermo Moreno,70_449,JNAMBA057,57J,,3,
70,,Q - Pza. Miserere x Autop. 25deMayo-P. Moreno-del Oeste - Term. Ómnibus de Lujan: Expreso Luján Once,70_450,JNAMBA057,57Q,,3,
70,,Q - Pza. Miserere x Autop. 25deMayo-P. Moreno-del Oeste - Term. Ómnibus de Lujan: Expreso Once Luján,70_451,JNAMBA057,57Q,,3,
70,,R - Pza. Miserere x Autop. P. Moreno-Aut del Oeste - RN 7 - Est. Moreno: Expreso Moreno - Once,70_452,JNAMBA057,57R,,3,
70,,R - Pza. Miserere x Autop. P. Moreno-Aut del Oeste - RN 7 - Est. Moreno: Expreso Once - Moreno,70_453,JNAMBA057,57R,,3,
70,,San Martin - Del Viso: x Ruta 8 Gral. PAZ DEL VISO,70_1811,JPBSAS429,429B,,3,
70,,San Martin - Del Viso: x Ruta 8 DEL VISO Gral. PAZ,70_1810,JPBSAS429,429B,,3,
70,,San Martin - Pilar - Capilla del Señor - Zarate: x Ruta 8 Gral. PAZ Pilar,70_1809,JPBSAS429,429A,,3,
70,,San Martin - Pilar - Capilla del Señor - Zarate: x Ruta 8 Pilar Gral. PAZ,70_1808,JPBSAS429,429A,,3,
70,,San Martin - Moreno: x Av. ROCA Gral. PAZ Moreno,70_1807,JPBSAS410,410B,,3,
70,,San Martin - Moreno: x Av ROCA Moreno Gral. PAZ,70_1806,JPBSAS410,410B,,3,
70,,San Martin - Lujan: x Ruta 7 Gral. PAZ LUJAN,70_1805,JPBSAS410,410A,,3,
70,,San Martin - Lujan: x Ruta 7 LUJAN Gral. PAZ,70_1804,JPBSAS410,410A,,3,
70,,L - Pza. Italia x Autop. 25deMayo-P. Moreno-del Oeste - Term. Ómnibus Mercedes: x colectora Mercedes Once Palermo,70_1860,JNAMBA057,57L,,3,
70,,L - Pza. Italia x Autop. 25deMayo-P. Moreno-del Oeste - Term. Ómnibus Mercedes: x colectora Palermo Once Mercedes,70_1861,JNAMBA057,57L,,3,
70,,P - Pza. Miserere x Autop. 25deMayo-P. Moreno-del Oeste - Term. Ómnibus Mercedes: x Autop. Once Mercedes,70_1859,JNAMBA057,57P,,3,
70,,P - Pza. Miserere x Autop. 25deMayo-P. Moreno-del Oeste - Term. Ómnibus Mercedes: x Autop. Mercedes Once,70_1858,JNAMBA057,57P,,3,
70,,C - Pza. Italia x Acc. Norte - Term. Ómnibus de Lujan: x colectora Lujan Palermo,70_615,JNAMBA057,57C,,3,
70,,C - Pza. Italia x Acc. Norte - Term. Ómnibus de Lujan: x colectora Palermo Lujan,70_616,JNAMBA057,57C,,3,
