id,name,price,seller,date,query
7790895010095,"Gaseosa Schweppes Sin Azúcar Pomelo 2,25 Lt.",649.0,dia,06/05/23,azucar ledesma
8480017171641,"Gaseosa Cola DIA Cero Azúcar 2,25 Lts.",207.5,dia,06/05/23,azucar ledesma
7790895006951,"Gaseosa Crush Sin Azúcar Naranja 2,25 Lt.",262.5,dia,06/05/23,azucar ledesma
7798174970016,Azíucar Azucel Común tipo A 1 Kg.,618.17,dia,06/05/23,azucar ledesma
7790895067570,"Gaseosa Coca-Cola Sin Azúcar 2,25 Lt.",675.0,dia,06/05/23,azucar ledesma
7790895068096,"Gaseosa Coca-Cola Sin Azúcar 2,5 Lt.",739.4,dia,06/05/23,azucar ledesma
7790895012310,"Gaseosa Fanta Naranja Sin Azúcar 1,75 Lt.",278.8,dia,06/05/23,azucar ledesma
7790895010101,Gaseosa Schweppes Sin Azúcar Pomelo 354 Ml.,208.0,dia,06/05/23,azucar ledesma
7796435005996,Jugo Gergal Arándanos Sin Azúcar 500 Ml.,329.0,dia,06/05/23,azucar ledesma
8480017218032,Vigilante con Azúcar x Un.,74.0,dia,06/05/23,azucar ledesma
7793360131516,Mermelada BC Durazno 390 Gr.,427.0,dia,06/05/23,mermelada Campagnola
7793360131400,Mermelada La Campagnola Durazno 454 Gr.,589.07,dia,06/05/23,mermelada Campagnola
7793360131424,Mermelada La Campagnola Ciruela 454 Gr.,326.22,dia,06/05/23,mermelada Campagnola
7793360131547,Mermelada BC Ciruela 390 Gr.,655.22,dia,06/05/23,mermelada Campagnola
7790580132170,MERMELADA DAMASCO ARCOR 454GR,376.8,dia,06/05/23,mermelada Campagnola
8480017107091,Mermelada DIA Frambuesa 454 Gr.,456.02,dia,06/05/23,mermelada Campagnola
8480017605832,Mermelada DIA Zapallo 454 Gr.,341.72,dia,06/05/23,mermelada Campagnola
7793360131554,Mermelada Bc Naranja 390 Gr.,655.22,dia,06/05/23,mermelada Campagnola
8480017240453,Mermelada DIA Ciruela 454 Gr.,331.12,dia,06/05/23,mermelada Campagnola
7791113001291,Mermelada Emeth Arándanos 454 Gr.,627.3,dia,06/05/23,mermelada Campagnola
7791113003356,Mermelada Emeth Durazno 420 Gr.,268.13,dia,06/05/23,mermelada Campagnola
8480017240484,Mermelada Light DIA Durazno 390 Gr.,341.87,dia,06/05/23,mermelada Campagnola
7790580132187,Mermelada Tradicional Arcor Frutilla 454 Gr.,704.86,dia,06/05/23,mermelada Campagnola
7798100665832,Mermelada Light Canale Frutilla 390 Gr.,650.52,dia,06/05/23,mermelada Campagnola
8480017137661,Mermelada DIA Arándano 454 Gr.,456.02,dia,06/05/23,mermelada Campagnola
7793360131530,Mermelada BC Frutilla 390 Gr.,666.83,dia,06/05/23,mermelada Campagnola
7791113004056,Mermelada Emeth Ciruela 420 Gr.,268.13,dia,06/05/23,mermelada Campagnola
8480017121257,Lentejas DIA 500 Gr.,328.74,dia,06/05/23,lenteja 500
8480017242068,Ñoquis DIA 500 Gr.,241.49,dia,06/05/23,lenteja 500
7791866001364,Mayonesa Natura 500 Ml.,326.4,dia,06/05/23,lenteja 500
7794000006164,Ketchup Hellmann's 500 Gr.,353.8,dia,06/05/23,lenteja 500
8480017299994,Edulcorante Líquido DIA 500 Ml.,472.19,dia,06/05/23,lenteja 500
7792540293754,Azúcar Ledesma Light 500 Gr.,289.45,dia,06/05/23,lenteja 500
7798179070018,Ricotta Silvia 500 Gr.,199.0,dia,06/05/23,lenteja 500
